codigo_turma,codigo,nome,professor,credito,vagas,inscritos,status,horario_sala,extra
"INF2806, PESQ TESE I LING PROGRAMACAO, 3WA",INF2806,PESQ TESE I LING PROGRAMACAO,HORISTA A CONTRATAR,3WA,I,GAVEA,0,3,0
"INF2806, PESQ TESE I LING PROGRAMACAO, 3WB",INF2806,PESQ TESE I LING PROGRAMACAO,HORISTA A CONTRATAR,3WB,I,GAVEA,0,3,0
"INF2806, PESQ TESE I LING PROGRAMACAO, 3WD",INF2806,PESQ TESE I LING PROGRAMACAO,EDWARD HERMANN HAEUSLER,3WD,I,GAVEA,0,3,0
"INF2807, PESQ TESE II LING PROGRAMACAO, 3WA",INF2807,PESQ TESE II LING PROGRAMACAO,HORISTA A CONTRATAR,3WA,I,GAVEA,0,3,0
"INF2807, PESQ TESE II LING PROGRAMACAO, 3WB",INF2807,PESQ TESE II LING PROGRAMACAO,HORISTA A CONTRATAR,3WB,I,GAVEA,0,3,0
"INF2807, PESQ TESE II LING PROGRAMACAO, 3WD",INF2807,PESQ TESE II LING PROGRAMACAO,EDWARD HERMANN HAEUSLER,3WD,I,GAVEA,0,3,0
"INF2808, PESQ TESE III LING PROGRAMACAO, 3WA",INF2808,PESQ TESE III LING PROGRAMACAO,HORISTA A CONTRATAR,3WA,I,GAVEA,0,3,0
"INF2808, PESQ TESE III LING PROGRAMACAO, 3WB",INF2808,PESQ TESE III LING PROGRAMACAO,HORISTA A CONTRATAR,3WB,I,GAVEA,0,3,0
"INF2808, PESQ TESE III LING PROGRAMACAO, 3WD",INF2808,PESQ TESE III LING PROGRAMACAO,EDWARD HERMANN HAEUSLER,3WD,I,GAVEA,0,3,0
"INF2809, PESQ TESE IV LING PROGRAMACAO, 3WA",INF2809,PESQ TESE IV LING PROGRAMACAO,HORISTA A CONTRATAR,3WA,I,GAVEA,0,3,0
"INF2809, PESQ TESE IV LING PROGRAMACAO, 3WB",INF2809,PESQ TESE IV LING PROGRAMACAO,HORISTA A CONTRATAR,3WB,I,GAVEA,0,3,0
"INF2809, PESQ TESE IV LING PROGRAMACAO, 3WD",INF2809,PESQ TESE IV LING PROGRAMACAO,EDWARD HERMANN HAEUSLER,3WD,I,GAVEA,0,3,0
"INF2813, TRAB IND LING PROGRAMACAO I, 3WA",INF2813,TRAB IND LING PROGRAMACAO I,HORISTA A CONTRATAR,3WA,I,GAVEA,0,1,0
"INF2813, TRAB IND LING PROGRAMACAO I, 3WB",INF2813,TRAB IND LING PROGRAMACAO I,HORISTA A CONTRATAR,3WB,I,GAVEA,0,1,0
"INF2813, TRAB IND LING PROGRAMACAO I, 3WD",INF2813,TRAB IND LING PROGRAMACAO I,EDWARD HERMANN HAEUSLER,3WD,I,GAVEA,0,1,0
"INF2814, TRAB IND LING PROGRAMACAO II, 3WA",INF2814,TRAB IND LING PROGRAMACAO II,HORISTA A CONTRATAR,3WA,I,GAVEA,0,2,0
"INF2814, TRAB IND LING PROGRAMACAO II, 3WB",INF2814,TRAB IND LING PROGRAMACAO II,HORISTA A CONTRATAR,3WB,I,GAVEA,0,2,0
"INF2814, TRAB IND LING PROGRAMACAO II, 3WD",INF2814,TRAB IND LING PROGRAMACAO II,EDWARD HERMANN HAEUSLER,3WD,I,GAVEA,0,2,0
"INF2815, TRAB IND LING PROGRAMACAO III, 3WA",INF2815,TRAB IND LING PROGRAMACAO III,HORISTA A CONTRATAR,3WA,I,GAVEA,0,3,0
"INF2815, TRAB IND LING PROGRAMACAO III, 3WB",INF2815,TRAB IND LING PROGRAMACAO III,HORISTA A CONTRATAR,3WB,I,GAVEA,0,3,0
"INF2815, TRAB IND LING PROGRAMACAO III, 3WD",INF2815,TRAB IND LING PROGRAMACAO III,EDWARD HERMANN HAEUSLER,3WD,I,GAVEA,0,3,0
"INF2886, PESQ TESE I HIPERT/MULTIMIDIA, 3WA",INF2886,PESQ TESE I HIPERT/MULTIMIDIA,HORISTA A CONTRATAR,3WA,I,GAVEA,0,3,0
"INF2886, PESQ TESE I HIPERT/MULTIMIDIA, 3WB",INF2886,PESQ TESE I HIPERT/MULTIMIDIA,SERGIO COLCHER,3WB,I,GAVEA,0,3,0
"INF2887, PESQ TESE II HIPERT/MULTIMIDIA, 3WA",INF2887,PESQ TESE II HIPERT/MULTIMIDIA,HORISTA A CONTRATAR,3WA,I,GAVEA,0,3,0
"INF2887, PESQ TESE II HIPERT/MULTIMIDIA, 3WB",INF2887,PESQ TESE II HIPERT/MULTIMIDIA,SERGIO COLCHER,3WB,I,GAVEA,0,3,0
"INF2888, PES TESE III HIPERT/MULTIMIDIA, 3WA",INF2888,PES TESE III HIPERT/MULTIMIDIA,HORISTA A CONTRATAR,3WA,I,GAVEA,0,3,0
"INF2888, PES TESE III HIPERT/MULTIMIDIA, 3WB",INF2888,PES TESE III HIPERT/MULTIMIDIA,SERGIO COLCHER,3WB,I,GAVEA,0,3,0
